time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T04:11:57.667Z,58.1841,-145.8599,111,2.7,ml,,,,0.44,ak,ak20333091,2018-11-06T04:23:29.904Z,"142km S of Middleton Island, Alaska",earthquake,,3.2,,,automatic,ak,ak
2018-11-06T04:11:23.370Z,33.5026667,-116.7996667,2.87,1.8,ml,67,28,0.009695,0.2,ci,ci38350984,2018-11-06T14:20:07.751Z,"9km NE of Aguanga, CA",earthquake,0.18,0.56,0.157,26,reviewed,ci,ci
2018-11-06T04:10:25.464Z,59.8865,-140.8992,6,1.7,ml,,,,0.79,ak,ak20333088,2018-11-06T04:17:18.807Z,"76km WNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-06T04:09:04.890Z,34.1258333,-117.7813333,5.84,0.88,ml,22,146,0.03609,0.14,ci,ci38350976,2018-11-06T16:40:26.970Z,"3km NNW of La Verne, CA",earthquake,0.28,0.46,0.114,9,reviewed,ci,ci
2018-11-06T04:08:23.956Z,61.2915,-147.3968,19.1,1.5,ml,,,,0.94,ak,ak20333086,2018-11-06T04:13:57.649Z,"59km WNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-06T04:02:41.510Z,19.4021664,-155.2788391,0.08,1.91,ml,22,46,0.008354,0.15,hv,hv70675611,2018-11-06T04:08:22.260Z,"5km SW of Volcano, Hawaii",earthquake,0.16,0.18,0.23,14,automatic,hv,hv
2018-11-06T04:02:08.136Z,57.9594,-152.9889,61.4,2,ml,,,,0.71,ak,ak20333084,2018-11-06T04:07:25.872Z,"31km NW of Kodiak Station, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-11-06T03:57:52.530Z,31.1658,-103.2905,3.25,2.2,ml,,55,0.246,0.52,us,us2000i7ac,2018-11-06T04:19:47.040Z,"34km SE of Pecos, Texas",earthquake,1.3,4.4,0.081,20,reviewed,us,us
2018-11-06T03:48:38.327Z,63.0657,-148.467,6.9,1.7,ml,,,,0.88,ak,ak20333081,2018-11-06T03:52:03.347Z,"43km SE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-06T03:40:32.930Z,35.9945,-117.6931667,2.58,1.41,ml,19,60,0.05803,0.1,ci,ci38350968,2018-11-06T14:20:30.466Z,"20km ENE of Little Lake, CA",earthquake,0.18,0.21,0.193,20,reviewed,ci,ci
2018-11-06T03:37:04.920Z,33.4958333,-116.4446667,5.14,0.41,ml,21,96,0.09478,0.2,ci,ci38350960,2018-11-06T14:20:29.753Z,"22km ESE of Anza, CA",earthquake,0.34,1.84,0.204,10,reviewed,ci,ci
2018-11-06T03:34:47.450Z,33.4933333,-116.7958333,3.71,0.66,ml,27,47,0.01936,0.17,ci,ci38350952,2018-11-06T03:38:35.001Z,"8km NE of Aguanga, CA",earthquake,0.21,0.56,0.076,21,automatic,ci,ci
2018-11-06T03:34:16.550Z,33.4943333,-116.7926667,3.44,0.31,ml,18,61,0.0191,0.13,ci,ci38350944,2018-11-06T03:38:02.306Z,"9km NE of Aguanga, CA",earthquake,0.26,0.68,0.146,9,automatic,ci,ci
2018-11-06T03:28:55.840Z,33.495,-116.8063333,4.14,0.11,ml,14,103,0.01803,0.26,ci,ci38350936,2018-11-06T03:32:43.764Z,"8km NE of Aguanga, CA",earthquake,0.62,1.18,0.143,3,automatic,ci,ci
